,osm_id,area,use,comment,free_walls,building_t,occupants,floors,constructi,refurb_wal,refurb_roo,refurb_bas,refurb_win,bid,lat,lon,plz,dist2hp,geometry
0,95002119,181.34037143460665,Residential,,4,SFH,6.0,1,1949-1978,,,,,0,49.326686446722164,11.038486699999991,91126,1000,"POLYGON ((648108.6678579717 5465774.617548665, 648121.8892250687 5465780.436443991, 648126.9687632301 5465768.959902451, 648113.7473724303 5465763.140995414, 648108.6678579717 5465774.617548665))"
1,439862716,181.0147631895131,Residential,,4,SFH,6.0,1,1979-1986,,,,,1,49.3173427484427,11.027438074177894,91126,1000,"POLYGON ((647335.4801497702 5464717.43284163, 647349.4433249999 5464718.497379879, 647350.4220279492 5464705.6085601, 647336.4660868787 5464704.544215099, 647335.4801497702 5464717.43284163))"
2,92908888,181.31393473012184,Residential,Unident_to_Res,4,SFH,3.0,1,1996-2000,,,,,2,49.32080526662072,11.028616442052503,91126,1000,"POLYGON ((647413.7747943021 5465104.519123211, 647421.2501079359 5465107.767936594, 647426.9442309776 5465094.761056959, 647415.2427862481 5465089.6633507535, 647409.5485240221 5465102.681048242, 647413.7748040939 5465104.518758667, 647413.7746686069 5465104.519068554, 647413.7747943021 5465104.519123211))"
3,46598585,181.8993554703883,Residential,Unident_to_Res,4,SFH,2.0,1,,,,,,3,49.35521312500913,10.992777676161069,91126,1000,"POLYGON ((644703.1238175048 5468850.692576482, 644704.4468811103 5468860.305223178, 644723.0224499891 5468857.736550999, 644721.699124259 5468848.135015431, 644703.1238175048 5468850.692576482))"
4,92106051,181.65075435739587,Residential,,4,SFH,3.0,1,-1919,,,,,4,49.32609921742285,11.030881224600448,91126,1000,"POLYGON ((647556.8801388075 5465690.580534581, 647563.1257244252 5465700.860351671, 647571.5957084585 5465695.748554057, 647570.5655297602 5465694.0411002245, 647577.7570377636 5465689.695865989, 647573.8998614649 5465683.340349724, 647566.7010830982 5465687.685393678, 647565.3504306711 5465685.457611098, 647556.8801388075 5465690.580534581))"
5,94582760,181.176180530657,Residential,Unident_to_Res,4,SFH,1.0,1,1996-2000,,,,,5,49.321179918143635,11.078273728552942,91126,1000,"POLYGON ((651016.0880754736 5465242.502713701, 651027.6621441578 5465248.41684049, 651031.1198564349 5465241.681574035, 651028.9114836021 5465240.541722758, 651033.5445951142 5465231.5249153515, 651026.2876668203 5465227.809862386, 651021.6542589226 5465236.837791742, 651019.5530427907 5465235.7676401865, 651016.0880754736 5465242.502713701))"
6,90464018,181.41927430830248,Residential,,4,SFH,3.0,1,1949-1978,,,,,6,49.32147063636996,11.011405964659355,91126,1000,"POLYGON ((646156.536710693 5465142.1187289795, 646167.167581586 5465148.675809999, 646174.8257879743 5465136.343029381, 646164.1803677861 5465129.785546864, 646156.536710693 5465142.1187289795))"
7,95556303,181.29843563186122,Residential,,4,SFH,6.0,1,2001-2004,,,,,7,49.34227516914622,11.048864085655667,91126,1000,"POLYGON ((648816.8888915966 5467519.191219879, 648816.5845096526 5467530.407385785, 648832.625211977 5467530.9873348065, 648832.933548859 5467519.6266595675, 648816.8888915966 5467519.191219879))"
8,92435991,181.69068703209413,Residential,,4,SFH,3.0,1,2005-2008,,,,,8,49.32251607312254,11.024320315492602,91126,1000,"POLYGON ((647091.6817230145 5465283.584366075, 647106.7576998586 5465288.382507184, 647110.2577163822 5465277.441225044, 647095.1814134698 5465272.654191039, 647091.6817230145 5465283.584366075))"
9,46349947,181.47477550192784,Residential,,4,SFH,3.0,1,1949-1978,,,,,9,49.36210082616503,11.02332722831159,91126,1000,"POLYGON ((646903.6627256837 5469685.1143744895, 646907.0660616682 5469685.272355188, 646917.4494243634 5469685.784330149, 646918.0990672241 5469672.664101463, 646904.3129314722 5469671.971912462, 646903.6627256837 5469685.1143744895))"
